s/n,subject,level,question,students_response,recipe,rubrics,,,,,
171,History,Secondary 4, ,"The Nazi government began rearmament in 1933 though it was banned under the Treaty of Versaille. Unemployed workers were selected into the army to build up its armed forces in secret. By 1935, Hitler did not hide the rearmament programme and held a freedom to Rearm rally in Berlin. Britain and France concerns grew over Germany’s military buildup, however, both countries did not want to get involved in another war so there was a policy of appeasement and they gave in to Hitler. This made Hitler think that both countries will always give in to him so he became bolder and wanted more. The both countries realised that Hitler would want more even if they gave in to him so they declared war with Germany.""", ,"Essay - Level 1 - did not list any factor and out of point, Essay - Level 2 - States 1 factor such as the violation of Treaty of Versailles, militarisation of Rhineland or Annexation of Anschluss, Essay - Level 3 - Provides 1 factor with explanation, Essay - Level 4 - Provides 2 factor with explanation, Essay - Level 5 - Provides 2 factors with explanation and evaluates the impact of each factor.",,,,,
172,History,Secondary 4, ,"The Nazi government began rearmament in 1933 though it was banned under the Treaty of Versaille. Unemployed workers were selected into the army to build up its armed forces in secret. By 1935, Hitler did not hide the rearmament programme and held a freedom to Rearm rally in Berlin. Britain and France concerns grew over Germany’s military buildup, however, both countries did not want to get involved in another war so there was a policy of appeasement and they gave in to Hitler. This made Hitler think that both countries will always give in to him so he became bolder and wanted more. The both countries realised that Hitler would want more even if they gave in to him so they declared war with Germany.""", ,"Essay - Level 1 - did not list any factor and out of point, Essay - Level 2 - States 1 factor such as the violation of Treaty of Versailles, militarisation of Rhineland or Annexation of Anschluss, Essay - Level 3 - Provides 1 factor with explanation, Essay - Level 4 - Provides 2 factor with explanation, Essay - Level 5 - Provides 2 factors with explanation and evaluates the impact of each factor.",,,,,
173,History,Secondary 4, ,"The Nazi government began rearmament in 1933 though it was banned under the Treaty of Versaille. Unemployed workers were selected into the army to build up its armed forces in secret. By 1935, Hitler did not hide the rearmament programme and held a freedom to Rearm rally in Berlin. Britain and France concerns grew over Germany’s military buildup, however, both countries did not want to get involved in another war so there was a policy of appeasement and they gave in to Hitler. This made Hitler think that both countries will always give in to him so he became bolder and wanted more. The both countries realised that Hitler would want more even if they gave in to him so they declared war with Germany.""", ,"Essay - Level 1 - did not list any factor and out of point, Essay - Level 2 - States 1 factor such as the violation of Treaty of Versailles, militarisation of Rhineland or Annexation of Anschluss, Essay - Level 3 - Provides 1 factor with explanation, Essay - Level 4 - Provides 2 factor with explanation, Essay - Level 5 - Provides 2 factors with explanation and evaluates the impact of each factor.",,,,,
174,History,Secondary 4, ,"The Nazi government began rearmament in 1933 though it was banned under the Treaty of Versaille. Unemployed workers were selected into the army to build up its armed forces in secret. By 1935, Hitler did not hide the rearmament programme and held a freedom to Rearm rally in Berlin. Britain and France concerns grew over Germany’s military buildup, however, both countries did not want to get involved in another war so there was a policy of appeasement and they gave in to Hitler. This made Hitler think that both countries will always give in to him so he became bolder and wanted more. The both countries realised that Hitler would want more even if they gave in to him so they declared war with Germany.""", ,"Essay - Level 1 - did not list any factor and out of point, Essay - Level 2 - States 1 factor such as the violation of Treaty of Versailles, militarisation of Rhineland or Annexation of Anschluss, Essay - Level 3 - Provides 1 factor with explanation, Essay - Level 4 - Provides 2 factor with explanation, Essay - Level 5 - Provides 2 factors with explanation and evaluates the impact of each factor.",,,,,
175,History,Secondary 4, ,"The Nazi government began rearmament in 1933 though it was banned under the Treaty of Versaille. Unemployed workers were selected into the army to build up its armed forces in secret. By 1935, Hitler did not hide the rearmament programme and held a freedom to Rearm rally in Berlin. Britain and France concerns grew over Germany’s military buildup, however, both countries did not want to get involved in another war so there was a policy of appeasement and they gave in to Hitler. This made Hitler think that both countries will always give in to him so he became bolder and wanted more. The both countries realised that Hitler would want more even if they gave in to him so they declared war with Germany.""", ,"Essay - Level 1 - did not list any factor and out of point, Essay - Level 2 - States 1 factor such as the violation of Treaty of Versailles, militarisation of Rhineland or Annexation of Anschluss, Essay - Level 3 - Provides 1 factor with explanation, Essay - Level 4 - Provides 2 factor with explanation, Essay - Level 5 - Provides 2 factors with explanation and evaluates the impact of each factor.",,,,,
176,History,Secondary 4, ,"The Nazi government began rearmament in 1933 though it was banned under the Treaty of Versaille. Unemployed workers were selected into the army to build up its armed forces in secret. By 1935, Hitler did not hide the rearmament programme and held a freedom to Rearm rally in Berlin. Britain and France concerns grew over Germany’s military buildup, however, both countries did not want to get involved in another war so there was a policy of appeasement and they gave in to Hitler. This made Hitler think that both countries will always give in to him so he became bolder and wanted more. The both countries realised that Hitler would want more even if they gave in to him so they declared war with Germany.""", ,"Essay - Level 1 - did not list any factor and out of point, Essay - Level 2 - States 1 factor such as the violation of Treaty of Versailles, militarisation of Rhineland or Annexation of Anschluss, Essay - Level 3 - Provides 1 factor with explanation, Essay - Level 4 - Provides 2 factor with explanation, Essay - Level 5 - Provides 2 factors with explanation and evaluates the impact of each factor.",,,,,
177,History,Secondary 4, ,"The Nazi government began rearmament in 1933 though it was banned under the Treaty of Versaille. Unemployed workers were selected into the army to build up its armed forces in secret. By 1935, Hitler did not hide the rearmament programme and held a freedom to Rearm rally in Berlin. Britain and France concerns grew over Germany’s military buildup, however, both countries did not want to get involved in another war so there was a policy of appeasement and they gave in to Hitler. This made Hitler think that both countries will always give in to him so he became bolder and wanted more. The both countries realised that Hitler would want more even if they gave in to him so they declared war with Germany.""", ,"Essay - Level 1 - did not list any factor and out of point, Essay - Level 2 - States 1 factor such as the violation of Treaty of Versailles, militarisation of Rhineland or Annexation of Anschluss, Essay - Level 3 - Provides 1 factor with explanation, Essay - Level 4 - Provides 2 factor with explanation, Essay - Level 5 - Provides 2 factors with explanation and evaluates the impact of each factor.",,,,,
178,History,Secondary 4, ,"The Nazi government began rearmament in 1933 though it was banned under the Treaty of Versaille. Unemployed workers were selected into the army to build up its armed forces in secret. By 1935, Hitler did not hide the rearmament programme and held a freedom to Rearm rally in Berlin. Britain and France concerns grew over Germany’s military buildup, however, both countries did not want to get involved in another war so there was a policy of appeasement and they gave in to Hitler. This made Hitler think that both countries will always give in to him so he became bolder and wanted more. The both countries realised that Hitler would want more even if they gave in to him so they declared war with Germany.""", ,"Essay - Level 1 - did not list any factor and out of point, Essay - Level 2 - States 1 factor such as the violation of Treaty of Versailles, militarisation of Rhineland or Annexation of Anschluss, Essay - Level 3 - Provides 1 factor with explanation, Essay - Level 4 - Provides 2 factor with explanation, Essay - Level 5 - Provides 2 factors with explanation and evaluates the impact of each factor.",,,,,
179,History,Secondary 4, ,"The Nazi government began rearmament in 1933 though it was banned under the Treaty of Versaille. Unemployed workers were selected into the army to build up its armed forces in secret. By 1935, Hitler did not hide the rearmament programme and held a freedom to Rearm rally in Berlin. Britain and France concerns grew over Germany’s military buildup, however, both countries did not want to get involved in another war so there was a policy of appeasement and they gave in to Hitler. This made Hitler think that both countries will always give in to him so he became bolder and wanted more. The both countries realised that Hitler would want more even if they gave in to him so they declared war with Germany.""", ,"Essay - Level 1 - did not list any factor and out of point, Essay - Level 2 - States 1 factor such as the violation of Treaty of Versailles, militarisation of Rhineland or Annexation of Anschluss, Essay - Level 3 - Provides 1 factor with explanation, Essay - Level 4 - Provides 2 factor with explanation, Essay - Level 5 - Provides 2 factors with explanation and evaluates the impact of each factor.",,,,,
180,History,Secondary 4, ,"The Nazi government began rearmament in 1933 though it was banned under the Treaty of Versaille. Unemployed workers were selected into the army to build up its armed forces in secret. By 1935, Hitler did not hide the rearmament programme and held a freedom to Rearm rally in Berlin. Britain and France concerns grew over Germany’s military buildup, however, both countries did not want to get involved in another war so there was a policy of appeasement and they gave in to Hitler. This made Hitler think that both countries will always give in to him so he became bolder and wanted more. The both countries realised that Hitler would want more even if they gave in to him so they declared war with Germany.""", ,"Essay - Level 1 - did not list any factor and out of point, Essay - Level 2 - States 1 factor such as the violation of Treaty of Versailles, militarisation of Rhineland or Annexation of Anschluss, Essay - Level 3 - Provides 1 factor with explanation, Essay - Level 4 - Provides 2 factor with explanation, Essay - Level 5 - Provides 2 factors with explanation and evaluates the impact of each factor.",,,,,
